Manufacturer,Model,Device Codename,Chipset Processor,DPI,Pixel
 HTC/htc, HTC Desire 825, htc_a56uhl, qcom, 320dpi, 720x1280
 HTC/htc, HTC One X10, htc_e66_dugl, mt6755, 320dpi, 720x1280
 HTC/htc, HTC_U-2u, htc_alpine_dugl, mt6755, 320dpi, 720x1280
 HTC/htc, HTC Desire 12, htc_breeze_dugl, mt6739, 360dpi, 720x1327
 HTC/htc, HTC Desire 12+, htc_brepdugl, qcom, 360dpi, 720x1332
 HTC/htc, HTC 2Q4R100, htc_haydugl, htc_hay, 320dpi, 720x1338
 HTC/htc, HTC Desire 12 , htc_brepuhl, qcom, 320dpi, 720x1344
 HUAWEI, VKY-L09, HWVKY, hi3660, 544dpi, 1080x1760
 HUAWEI, HUAWEI RIO-L01, hwRIO-L01, qcom, 480dpi, 1080x1776
 HUAWEI, HUAWEI CAN-L01, HWCAN, qcom, 480dpi, 1080x1788
 HUAWEI, HUAWEI CAN-L11, HWCAN, qcom, 480dpi, 1080x1788
 HUAWEI, HUAWEI CAN-L12, HWCAN, qcom, 480dpi, 1080x1788
 HUAWEI, HUAWEI CAZ-AL10, HWCAZ, qcom, 480dpi, 1080x1788
 HUAWEI, PIC-LX9, HWPIC, hi6250, 480dpi, 1080x1788
 HUAWEI, EVA-AL00, HWEVA, hi3650, 480dpi, 1080x1792
 HUAWEI, EVA-L19, HWEVA, hi3650, 480dpi, 1080x1794
 HUAWEI, HUAWEI GRA-L09, HWGRA, hi3635, 480dpi, 1080x1794
 HUAWEI, HUAWEI GRA-UL00, HWGRA, hi3635, 480dpi, 1080x1794
 HUAWEI, PRA-LA1, HWPRA-H, hi625, 480dpi, 1080x1794
 HUAWEI, PRA-LA1, HWPRA-H, hi6250, 480dpi, 1080x1794
 HUAWEI, PRA-LX3, HWPRA-H, hi6250, 480dpi, 1080x1794
 HUAWEI, VIE-L09, HWVIE, hi3650, 480dpi, 1080x1794
 HUAWEI, VIE-L29, HWVIE, hi3650, 480dpi, 1080x1794
 HUAWEI, WAS-LX1, HWWAS-H, hi62, 480dpi, 1080x1794
 HUAWEI, WAS-LX3, HWWAS-H, hi6250, 480dpi, 1080x1794
 HUAWEI, WAS-TL10, HWWAS-H, hi6250, 480dpi, 1080x1794
 HUAWEI, HUAWEI VNS-L31, HWVNS-H, hi6250, 540dpi, 1080x1798
 HUAWEI, BAC-L21, HWBAC, hi6250, 480dpi, 1080x1800
 HUAWEI, VKY-L29, HWVKY, hi3660, 480dpi, 1080x1800
 HUAWEI, ALP-L29, HWALP, kirin970, 480dpi, 1080x1808
 HUAWEI, MHA-L09, HWMHA, hi3660, 480dpi, 1080x1808
 HUAWEI, BLL-L21, HWBLN-H, hi6250, 480dpi, 1080x1812
 HUAWEI, BLL-L22, HWBLN-H, hi6250, 480dpi, 1080x1812
 HUAWEI, BLL-L23, HWBLN-H, hi6250, 480dpi, 1080x1812
 HUAWEI, HUAWEI CRR-L09, HWCRR, hi3635, 480dpi, 1080x1812
 HUAWEI, HUAWEI NMO-L31, HWNMO-H, hi6250, 480dpi, 1080x1812
 HUAWEI, HUAWEI NXT-AL10, HWNXT, hi3650, 480dpi, 1080x1812
 HUAWEI, HUAWEI NXT-DL00, HWNXT, hi3650, 480dpi, 1080x1812
 HUAWEI, HUAWEI NXT-L29, HWNXT, hi3650, 480dpi, 1080x1812
 HUAWEI, HUAWEI VNS-L21, HWVNS-H, hi6250, 480dpi, 1080x1812
 HUAWEI, HUAWEI VNS-L22, HWVNS-H, hi6250, 480dpi, 1080x1812
 HUAWEI, HUAWEI VNS-L23, HWVNS-H, hi6250, 480dpi, 1080x1812
 HUAWEI, HUAWEI VNS-L53, HWVNS-H, hi6250, 480dpi, 1080x1812
 HUAWEI, LON-L29, HWLON, hi3660, 480dpi, 1080x1920
 HUAWEI, FIG-LA1, HWFIG-H, hi6250, 540dpi, 1080x2032
 HUAWEI, FIG-LX3, HWFIG-H, hi6250, 540dpi, 1080x2032
 HUAWEI, CLT-L04, HWCLT, kirin970, 480dpi, 1080x2037
 HUAWEI, BND-L34, HWBND-H, hi6250, 480dpi, 1080x2038
 HUAWEI, FLA-LX3, HWFLA-H, hi6250, 540dpi, 1080x2038
 HUAWEI, BLA-A09, HWBLA, kirin970, 480dpi, 1080x2040
 HUAWEI, BLA-AL00, HWBLA, kirin970, 480dpi, 1080x2040
 HUAWEI, BLA-L09, HWBLA, kirin970, 480dpi, 1080x2040
 HUAWEI, HWI-TL00, HWHWI, hi3660, 480dpi, 1080x2040
 HUAWEI, RNE-L01, HWRNE, hi6250, 480dpi, 1080x2040
 HUAWEI, RNE-L03, HWRNE, hi6250, 480dpi, 1080x2040
 HUAWEI, RNE-L22, HWRNE, hi6250, 480dpi, 1080x2040
 HUAWEI, ANE-LX2, HWANE, hi6250, 540dpi, 1080x2060
 HUAWEI, EVR-L29, HWEVR, kirin980, 480dpi, 1080x2068
 HUAWEI, ANA-NX9, HWANA, kirin990, 480dpi, 1080x2085
 HUAWEI, VOG-TL00, HWVOG, kirin810, 480dpi, 1080x2090
 HUAWEI, MAR-LX3Bm, HWMAR, kirin710, 408dpi, 1080x2107
 HUAWEI, MAR-LX1M, HWMAR, kirin71, 480dpi, 1080x2107
 HUAWEI, MAR-LX2, HWMAR, kirin710, 480dpi, 1080x2107
 HUAWEI, MAR-LX3Am, HWMAR, kirin710, 480dpi, 1080x2107
 HUAWEI, ANG-LX1, HWANG-DL, kirin820E, 480dpi, 1080x2125
 HUAWEI, INE-LX2, HWINE, kirin710, 480dpi, 1080x2128
 HUAWEI, INE-LX2r, HWINE, kirin710, 480dpi, 1080x2128
 HUAWEI, SNE-LX3, HWSNE, kirin710, 480dpi, 1080x2128
 HUAWEI, PAR-LX1M, HWPAR, kirin970, 480dpi, 1080x2130
 HUAWEI, JKM-AL00b, HWJKM-HM, kirin710, 480dpi, 1080x2137
 HUAWEI, JKM-LX2, HWJKM-H, kirin710, 480dpi, 1080x2137
 HUAWEI, JKM-LX3, HWJKM-H, kirin710, 480dpi, 1080x2137
 HUAWEI, ELE-L09, HWELE, kirin980, 480dpi, 1080x2139
 HUAWEI, POT-AL00a, HWPOT-HF, kirin710, 480dpi, 1080x2139
 HUAWEI, POT-LX1A, HWPOT-H, kirin710, 480dpi, 1080x2139
 HUAWEI, POT-LX3, HWPOT-H, kirin710, 480dpi, 1080x2139
 HUAWEI, POT-LX1T, HWPOT-H, kirin710, 540dpi, 1080x2139
 HUAWEI, NEN-LX1, HWNEN-Q, qcom, 480dpi, 1080x2144
 HUAWEI, LYA-AL00, HWLYA, kirin980, 408dpi, 1080x2145
 HUAWEI, LYA-L09, HWLYA, kirin980, 480dpi, 1080x2145
 HUAWEI, LYA-L29, HWLYA, kirin980, 540dpi, 1080x2145
 HUAWEI, VOG-AL00, HWVOG, kirin980, 480dpi, 1080x2147
 HUAWEI, VOG-L09, HWVOG, kirin980, 480dpi, 1080x2147
 HUAWEI, CLT-AL00, HWCLT, kirin970, 540dpi, 1080x2159
 HUAWEI, HMA-AL00, HWHMA, kirin980, 480dpi, 1080x2163
 HUAWEI, MAR-AL00, HWMAR, kirin985, 480dpi, 1080x2169
 HUAWEI, CDY, HWCDY, kirin820, 480dpi, 1080x2172
 HUAWEI, PPA-LX2, HWPPA-H, kirin710, 480dpi, 1080x2179
 HUAWEI, VOG-TL00, HWVOG, kirin710, 480dpi, 1080x2179
 HUAWEI, SNE-LX2, HWSNE, kirin710, 480dpi, 1080x2218
 HUAWEI, JKM-TL00, HWJKM-H, kirin710, 480dpi, 1080x2222
 HUAWEI, STK-LX3, HWSTK-HF, kirin710, 480dpi, 1080x2224
 HUAWEI, STK-L21, HWSTK-HF, kirin710, 540dpi, 1080x2224
 HUAWEI, NAM-LX9, HWNAM, qcom, 480dpi, 1080x2241
 HUAWEI, EML-L29, HWEML, kirin9, 480dpi, 1080x2244
 HUAWEI, POT-AL00, HWPOT-H, kirin710, 480dpi, 1080x2259
 HUAWEI, ELE-AL00, HWELE, kirin980, 480dpi, 1080x2265
 HUAWEI, LYA-AL00P, HWLYA, kirin980, 480dpi, 1080x2265
 HUAWEI, VOG-AL10, HWVOG, kirin980, 480dpi, 1080x2265
 HUAWEI, VOG-L04, HWVOG, kirin980, 480dpi, 1080x2265
 HUAWEI, CTR-LX1, HWCTR-Q, qcom, 480dpi, 1080x2280
 HUAWEI, JLN-LX1, HWJLN-Q, qcom, 480dpi, 1080x2282
 HUAWEI, VOG-TL00, HWVOG, kirin985, 480dpi, 1080x2289
 HUAWEI, CDY-NX9A, HWCDY, kirin820, 480dpi, 1080x2292
 HUAWEI, CDY-NX9B, HWCDY, kirin820, 480dpi, 1080x2292
 HUAWEI, BKL-AL20, HWBKL, kirin710, 480dpi, 1080x2322
 HUAWEI, STK-L22, HWSTK-HF, kirin710, 480dpi, 1080x2340
 HUAWEI, VOG-TL00, HWVOG, kirin990, 480dpi, 1128x2328
 HUAWEI, NOH-NX9, HWNOH, kirin9000, 480dpi, 1152x2151
 HUAWEI, LIO-L29, HWLIO, kirin990, 480dpi, 1176x2206
 HUAWEI, LIO-AN00, HWLIO, kirin990, 480dpi, 1176x2328
 HUAWEI, SLA-L22, HWSLA-Q, qcom, 320dpi, 1184x720
 HUAWEI, CAM-L21, HWCAM-H, hi6210sft, 320dpi, 1196x720
 HUAWEI, LYO-L21, HWLYO-L6735, mt6735, 320dpi, 1196x720
 HUAWEI, MYA-L41, HWMYA-L6737, mt6735, 320dpi, 1196x720
 HUAWEI, CPN-L09, HWCPN-Q, qcom, 420dpi, 1200x1825
 HUAWEI, GEM-701L, HWGemini, hi3635, 400dpi, 1200x1830
 HUAWEI, HUAWEI M2-801L, HWMozart, hi3635, 320dpi, 1200x1836
 HUAWEI, JDN2-L09, HWJDN2, kirin710, 480dpi, 1200x1836
 HUAWEI, FDR-A01L, HWFDR, qcom, 240dpi, 1200x1848
 HUAWEI, AGS2-L09, HWAGS2, hi6250, 320dpi, 1200x1852
 HUAWEI, AGS2-W09, HWAGS2, hi6250, 320dpi, 1200x1852
 HUAWEI, BAH2-W19, HWBAH2, hi6250, 320dpi, 1200x1852
 HUAWEI, BAH-L09, HWBAH-Q, qcom, 320dpi, 1200x1852
 HUAWEI, BAH2-L09, HWBAH2, hi6250, 480dpi, 1200x1852
 HUAWEI, AGS3-L09, HWAGS3, kirin710, 372dpi, 1200x1854
 HUAWEI, BAH3-W09, HWBAH3, kirin810, 320dpi, 1200x1934
 HUAWEI, BAH3-L09, HWBAH3, kirin810, 320dpi, 1200x2000
 HUAWEI, ELS-N39, HWELS-P, kirin990, 530dpi, 1200x2369
 HUAWEI, JAD-LX9, HWJAD-Q, qcom, 540dpi, 1228x2597
 HUAWEI, AGS-L09, HWAGS-Q, qcom, 213dpi, 1280x752
 HUAWEI, AGS-W09, HWAGS-Q, qcom, 213dpi, 1280x752
 HUAWEI, EDI-AL10, hwedison, hi3650, 560dpi, 1440x2428
 HUAWEI, VKY-AL00, HWVKY, hi3660, 720dpi, 1440x2560
 HUAWEI, BTV-DL09, hwbeethoven, hi3650, 480dpi, 1600x2452
 HUAWEI, SHT-AL09, HWSHT, hi3660, 480dpi, 1600x2454
 HUAWEI, CMR-AL09, HWCMR09, hi3660, 400dpi, 1600x2476
 HUAWEI, CMR-AL19, HWCMR, hi3660, 400dpi, 1600x2476
 HUAWEI, DBY-W09, HWDBY, qcom, 400dpi, 1600x2476
 HUAWEI, MRX-AL09, HWMRX, kirin990, 400dpi, 1600x2476
 HUAWEI, SCM-W09, HWSCM, kirin980, 400dpi, 1600x2476
 HUAWEI, CMR-W09, HWCMR09, hi3660, 466dpi, 1600x2476
 HUAWEI, WAS-LX1A, HWWAS-H, hi6250, 480dpi, 1776x1080
 HUAWEI, EVA-L09, HWEVA, hi3650, 480dpi, 1794x1080
 HUAWEI, VTR-L09, HWVTR, hi3660, 480dpi, 1812x1080
 HUAWEI, FIG-LX1, HWFIG-H, hi6250, 480dpi, 2033x1080
 HUAWEI, CLT-L29, HWCLT, kirin970, 480dpi, 2038x1080
 HUAWEI, JNY-LX1, HWJNY, kirin810, 480dpi, 2048x2048
 HUAWEI, HMA-L29, HWHMA, kirin980, 480dpi, 2050x1080
 HUAWEI, ANE-LX3, HWANE, hi6250, 480dpi, 2061x1080
 HUAWEI, MAR-LX1A, HWMAR, kirin710, 480dpi, 2108x1080
 HUAWEI, ELE-L29, HWELE, kirin980, 480dpi, 2140x1080
 HUAWEI, TAH-N29m, HWTAH-C, kirin990, 574dpi, 2200x2358
 HUAWEI, STK-LX1, HWSTK-HF, kirin710, 480dpi, 2224x1080
 HUAWEI, YAL-L21, HWYAL, kirin980, 408dpi, 2232x1080
 HUAWEI, VOG-L29, HWVOG, kirin980, 480dpi, 2265x1080
 HUAWEI, HUAWEI CUN-L01, HWCUN-L6735, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI CUN-L21, HWCUN-L6735, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI CUN-U29, HWCUN-U6582, mt6582, 320dpi, 720x1184
 HUAWEI, HUAWEI LYO-L01, HWLYO-L6735, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI LYO-L21, HWLYO-L6735, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI TAG-L01, HWTAG-L6753, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI TAG-L21, HWTAG-L6753, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI TIT-L01, HWTIT-L6735, mt6735, 320dpi, 720x1184
 HUAWEI, HUAWEI TIT-U02, HWTIT-U6582, mt6582, 320dpi, 720x1184
 HUAWEI, MYA-L11, HWMYA-L6737, mt6735, 320dpi, 720x1192
 HUAWEI, MYA-L22, HWMYA-L6737, mt6735, 320dpi, 720x1192
 HUAWEI, MYA-L23, HWMYA-L6737, mt6735, 320dpi, 720x1192
 HUAWEI, MYA-U29, HWMYA-U6580, mt6580, 320dpi, 720x1192
 HUAWEI, WAS-LX1, HWWAS-H, hi6250, 320dpi, 720x1196
 HUAWEI, MHA-L29, HWMHA, hi3660, 272dpi, 720x1206
 HUAWEI, CAM-L03, HWCAM-H, hi6210sft, 320dpi, 720x1208
 HUAWEI, DIG-L01, HWDIG-L8940, qcom, 320dpi, 720x1208
 HUAWEI, DIG-L21, HWDIG-L8940, qcom, 320dpi, 720x1208
 HUAWEI, DIG-L21HN, HWDIG-L8940, qcom, 320dpi, 720x1208
 HUAWEI, JMM-L22, HWJMM, mt6755, 320dpi, 720x1208
 HUAWEI, SLA-L02, HWSLA-Q, qcom, 320dpi, 720x1208
 HUAWEI, TRT-L21A, HWTRT-Q, qcom, 320dpi, 720x1208
 HUAWEI, TRT-LX1, HWTRT-Q, qcom, 320dpi, 720x1208
 HUAWEI, TRT-LX3, HWTRT-Q, qcom, 320dpi, 720x1208
 HUAWEI, Hol-U19, HWHol-U, mt6582, 320dpi, 720x1280
 HUAWEI, PRA-LX1, HWPRA-H, hi6250, 320dpi, 720x1280
 HUAWEI, VTR-L29, HWVTR, hi3660, 320dpi, 720x1280
 HUAWEI, DRA-LX9, HWDRA-MR, mt6765, 360dpi, 720x1352
 HUAWEI, EML-L09, HWEML, kirin970, 320dpi, 720x1353
 HUAWEI, EML-L29, HWEML, kirin970, 320dpi, 720x1353
 HUAWEI, DRA-L01, HWDRA-M, mt6739, 320dpi, 720x1356
 HUAWEI, DRA-L21, HWDRA-M, mt6739, 320dpi, 720x1356
 HUAWEI, DRA-LX3, HWDRA-MG, mt673, 320dpi, 720x1356
 HUAWEI, DRA-LX2, HWDRA-M, mt6739, 360dpi, 720x1356
 HUAWEI, DRA-LX5, HWDRA-MG, mt6739, 360dpi, 720x1356
 HUAWEI, CLT-L09, HWCLT, kirin970, 320dpi, 720x1357
 HUAWEI, ATU-AL10, HWATU-QC, qcom, 320dpi, 720x1358
 HUAWEI, ATU-L11, HWATU-QG, qcom, 320dpi, 720x1358
 HUAWEI, ATU-L21, HWATU-QG, qcom, 320dpi, 720x1358
 HUAWEI, ATU-L31, HWATU-QG, qcom, 320dpi, 720x1358
 HUAWEI, ATU-L42, HWATU-QG, qcom, 320dpi, 720x1358
 HUAWEI, FLA-LX1, HWFLA-H, hi6250, 360dpi, 720x1358
 HUAWEI, BLA-L29, HWBLA, kirin970, 320dpi, 720x1360
 HUAWEI, LDN-L01, HWLDN-Q, qcom, 320dpi, 720x1360
 HUAWEI, LDN-L21, HWLDN-Q, qcom, 320dpi, 720x1360
 HUAWEI, LDN-LX2, HWLDN-Q, qcom, 320dpi, 720x1360
 HUAWEI, LDN-LX3, HWLDN-Q, qcom, 320dpi, 720x1360
 HUAWEI, RNE-L21, HWRNE, hi6250, 320dpi, 720x1360
 HUAWEI, HMA-L09, HWHMA, kirin980, 320dpi, 720x1366
 HUAWEI, AMN-LX1, HWAMN-M, mt6761, 320dpi, 720x1372
 HUAWEI, AMN-LX2, HWAMN-M, mt6761, 360dpi, 720x1372
 HUAWEI, AMN-LX9, HWAMN-M, mt6761, 360dpi, 720x1372
 HUAWEI, ANE-LX1, HWANE, hi6250, 360dpi, 720x1374
 HUAWEI, JNY-LX2, HWJNY, kirin810, 272dpi, 720x1393
 HUAWEI, MAR-LX1M, HWMAR, kirin710, 320dpi, 720x1405
 HUAWEI, ART-L28, HWART-H, kirin710, 320dpi, 720x1411
 HUAWEI, ART-L29N, HWART-H, kirin710, 320dpi, 720x1411
 HUAWEI, VOG-AL00, HWVOG, kirin710, 320dpi, 720x1411
 HUAWEI, ART-L29, HWART-H, kirin710, 360dpi, 720x1411
 HUAWEI, INE-LX1, HWINE, kirin710, 320dpi, 720x1418
 HUAWEI, SNE-LX1, HWSNE, kirin710, 360dpi, 720x1418
 HUAWEI, PAR-LX1, HWPAR, kirin970, 360dpi, 720x1419
 HUAWEI, JAT-L29, HWJAT-M, mt6765, 320dpi, 720x1422
 HUAWEI, JAT-L41, HWJAT-M, mt6765, 320dpi, 720x1422
 HUAWEI, JAT-LX3, HWJAT-M, mt6765, 320dpi, 720x1422
 HUAWEI, MRD-LX1N, HWMRD-M1, mt6761, 320dpi, 720x1422
 HUAWEI, MRD-LX3, HWMRD-M1, mt6761, 320dpi, 720x1422
 HUAWEI, JAT-LX1, HWJAT-M, mt6765, 360dpi, 720x1422
 HUAWEI, MRD-LX1, HWMRD-M1, mt6761, 360dpi, 720x1422
 HUAWEI, MRD-LX1F, HWMRD-M1, mt6761, 360dpi, 720x1422
 HUAWEI, POT-LX1, HWPOT-H, kirin710, 360dpi, 720x1426
 HUAWEI, RNE-L23, HWRNE, hi6250, 293dpi, 720x1440
 HUAWEI, DUB-LX2, HWDUB-Q, qcom, 320dpi, 720x1440
 HUAWEI, DUB-LX3, HWDUB-Q, qcom, 320dpi, 720x1440
 HUAWEI, DUB-LX1, HWDUB-Q, qcom, 360dpi, 720x1440
 HUAWEI, PPA-LX1, HWPPA-H, kirin710, 320dpi, 720x1453
 HUAWEI, AQM-LX1, HWAQM-H, kirin710, 360dpi, 720x1465
 HUAWEI, MED-LX9, HWMED-MR, mt6765, 320dpi, 720x1470
 HUAWEI, VOG-TL00, HWVOG, mt6765, 320dpi, 720x1470
 HUAWEI, MED-LX9N, HWMED-MR, mt6765, 360dpi, 720x1470
 HUAWEI, DUB-AL20, HWDUB-Q, qcom, 320dpi, 720x1520
 HUAWEI, MGA-LX3, HWMGA-H, kirin710, 320dpi, 720x1555
 HUAWEI, KOB-L09, HWKobe-Q, qcom, 280dpi, 800x1213
 HUAWEI, KOB2-L09, HWKOB2, mt6765, 240dpi, 800x1224
 HUAWEI, KOB2-W09, HWKOB2, mt6765, 240dpi, 800x1224
 HUAWEI, AGS-L03, HWAGS-Q, qcom, 181dpi, 800x1239
 HUAWEI, AGR-L09, HWAGR, kirin710, 213dpi, 800x1280
 HUAWEI, AGR-W09, HWAGR, kirin710, 213dpi, 800x1280
 HUAWEI, ELS-NX9, HWELS, kirin990, 353dpi, 800x1579
 HUAWEI, MAR-LX1B, HWMAR, kirin710, 405dpi, 810x1580
 HUAWEI, MAR-LX3A, HWMAR, kirin710, 360dpi, 810x1581
 HUAWEI/honor, FRD-AL00, HWFRD, hi3650, 480dpi, 1080x1792
 HUAWEI/honor, FRD-AL10, HWFRD, hi3650, 480dpi, 1080x1792
 HUAWEI/HONOR, FRD-L09, HWFRD, hi36, 480dpi, 1080x1794
 HUAWEI/HONOR, PRA-AL00, HWPRA-H, hi6250, 480dpi, 1080x1794
 HUAWEI/HONOR, PRA-AL00X, HWPRA-H, hi6250, 480dpi, 1080x1794
 HUAWEI/HONOR, PRA-LX1, HWPRA-H, hi6250, 480dpi, 1080x1794
 HUAWEI/HONOR, DUK-L09, HWDUK, hi3660, 540dpi, 1080x1806
 HUAWEI/HONOR, BLN-L21, HWBLN-H, hi6250, 480dpi, 1080x1812
 HUAWEI/HONOR, NEM-L21, HNNEM-H, hi6250, 480dpi, 1080x1812
 HUAWEI/HONOR, NEM-L51, HNNEM-H, hi6, 480dpi, 1080x1812
 HUAWEI/HONOR, NEM-L51, HNNEM-H, hi6250, 480dpi, 1080x1812
 HUAWEI/HONOR, PLK-L01, HWPLK, hi3635, 480dpi, 1080x1812
 HUAWEI/HONOR, PRA-TL10, HWPRA-H, hi62, 480dpi, 1080x1812
 HUAWEI/HONOR, STF-L09, HWSTF, hi3, 480dpi, 1080x1920
 HUAWEI/HONOR, LLD-AL10, HWLLD-H, hi6250, 480dpi, 1080x2032
 HUAWEI/HONOR, LLD-L31, HWLLD-H, hi6, 480dpi, 1080x2032
 HUAWEI/HONOR, BND-AL10, HWBND-H, hi6250, 480dpi, 1080x2038
 HUAWEI/HONOR, BKL-L09, HWBKL, kirin97, 480dpi, 1080x2040
 HUAWEI/HONOR, ARE-AL00, HWARE-Q, qcom, 540dpi, 1080x2044
 HUAWEI/HONOR, COL-L29, HWCOL, kirin9, 480dpi, 1080x2060
 HUAWEI/HONOR, LLD-AL20, HWLLD-H2, hi6250, 480dpi, 1080x2060
 HUAWEI/HONOR, PCT-AL10, HWPCT, kirin980, 480dpi, 1080x2090
 HUAWEI/HONOR, PCT-L29, HWPCT, kirin98, 480dpi, 1080x2090
 HUAWEI/HONOR, MAR-LX1H, HWMAR, kir, 480dpi, 1080x2107
 HUAWEI/HONOR, MAR-LX1H, HWMAR, kirin7, 480dpi, 1080x2107
 HUAWEI/HONOR, MAR-LX1H, HWMAR, kiri, 540dpi, 1080x2107
 HUAWEI/HONOR, YAL-L21, HWYAL, kirin9, 480dpi, 1080x2110
 HUAWEI/HONOR, YAL-L21, HWYAL, kirin98, 480dpi, 1080x2110
 HUAWEI/HONOR, YAL-L41, HWYAL, kirin9, 480dpi, 1080x2110
 HUAWEI/HONOR, YAL-L41, HWYAL, kirin98, 480dpi, 1080x2110
 HUAWEI/HONOR, RVL-AL09, HWRVL, kirin970, 460dpi, 1080x2114
 HUAWEI/HONOR, COR-AL00, HWCOR, kirin970, 480dpi, 1080x2128
 HUAWEI/HONOR, COR-L29, HWCOR, kirin970, 480dpi, 1080x2128
 HUAWEI/HONOR, JSN-L21, HWJSN-H, kirin71, 480dpi, 1080x2137
 HUAWEI/HONOR, JSN-L21, HWJSN-H, kirin, 540dpi, 1080x2137
 HUAWEI/HONOR, JSN-L21, HWJSN-H, kirin7, 540dpi, 1080x2137
 HUAWEI/HONOR, JSN-L23, HWJSN-H, kirin710, 540dpi, 1080x2137
 HUAWEI/HONOR, HRY-AL00a, HWHRY-HF, kirin710, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1, HWHRY-H, kirin, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1, HWHRY-H, kirin7, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1, HWHRY-H, kirin71, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1MEB, HWHRY-H, kirin710, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1T, HWHRY-HF, k, 480dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX1T, HWHRY-HF, kiri, 540dpi, 1080x2139
 HUAWEI/HONOR, HRY-LX2, HWHRY-H, kirin710, 540dpi, 1080x2139
 HUAWEI/HONOR, ARE-L22HN, HWARE-QC, qcom, 480dpi, 1080x2140
 HUAWEI/HONOR, LLD-AL30, HWLLD-H2, hi6250, 480dpi, 1080x2150
 HUAWEI/HONOR, OXF-AN00, HWOXF, kirin990, 480dpi, 1080x2159
 HUAWEI/HONOR, OXF-AN10, HWOXF, kirin990, 540dpi, 1080x2159
 HUAWEI/HONOR, BKL-L09, HWBKL, kirin, 480dpi, 1080x2160
 HUAWEI/HONOR, BMH-AN10, HWBMH, kirin985, 480dpi, 1080x2169
 HUAWEI/HONOR, JSN-AL00a, HWJSN-HM, kirin710, 480dpi, 1080x2179
 HUAWEI/HONOR, LRA-AL00, HWLRA-H, kirin710, 480dpi, 1080x2198
 HUAWEI/HONOR, JSN-AL00a, HWJSN-HM, kirin810, 480dpi, 1080x2208
 HUAWEI/HONOR, EBG-AN10, HWEBG, kiri, 480dpi, 1080x2214
 HUAWEI/HONOR, STK-LX1, HWSTK-HF, kiri, 480dpi, 1080x2224
 HUAWEI/HONOR, STK-LX1, HWSTK-HF, kirin, 480dpi, 1080x2224
 HUAWEI/HONOR, STK-LX1, HWSTK-HF, kirin7, 480dpi, 1080x2224
 HUAWEI/HONOR, STK-LX1, HWSTK-HF, kirin71, 480dpi, 1080x2224
 HUAWEI/HONOR, STK-LX3, HWSTK-HF, kirin710, 480dpi, 1080x2224
 HUAWEI/HONOR, HLK-AL00, HWHLK-H, kirin810, 540dpi, 1080x2224
 HUAWEI/HONOR, BMH-AN10, HWBMH, kiri, 480dpi, 1080x2289
 HUAWEI/HONOR, TNY-TL00, HWTNY, kirin980, 480dpi, 1080x2340
 HUAWEI/HONOR, KRJ-W09, HWKRJ, kirin985, 320dpi, 1200x1934
 HUAWEI/HONOR, FRD-L09, HWFRD, hi3650, 480dpi, 1794x1080
 HUAWEI/HONOR, KIW-L21, HNKIW-Q, qcom, 480dpi, 1794x1080
 HUAWEI/HONOR, BKL-L09, HWBKL, kirin970, 480dpi, 2041x1080
 HUAWEI/HONOR, CDY-NX9A, HWCDY, kirin820, 320dpi, 2048x2048
 HUAWEI/HONOR, LRA-LX1, HWLRA-H, kirin710, 480dpi, 2048x2048
 HUAWEI/HONOR, COL-L29, HWCOL, kirin970, 480dpi, 2061x1080
 HUAWEI/HONOR, PCT-L29, HWPCT, kirin980, 480dpi, 2091x1080
 HUAWEI/HONOR, YAL-L21, HWYAL, kirin980, 480dpi, 2111x1080
 HUAWEI/HONOR, HRY-LX1T, HWHRY-HF, kirin710, 408dpi, 2140x1080
 HUAWEI/HONOR, TIT-L01, HWTIT-L6735, mt6735, 320dpi, 720x1184
 HUAWEI/HONOR, PRA-TL10, HWPRA-H, hi6250, 320dpi, 720x1196
 HUAWEI/HONOR, CAM-L21, HWCAM-H, hi6210sft, 320dpi, 720x1208
 HUAWEI/HONOR, DLI-AL10, HWDLI-Q, qcom, 320dpi, 720x1208
 HUAWEI/HONOR, DLI-L22, HWDLI-Q, qcom, 320dpi, 720x1208
 HUAWEI/HONOR, DLI-L42, HWDLI-Q, qcom, 320dpi, 720x1208
 HUAWEI/HONOR, DLI-TL20, HWDLI-Q, q, 320dpi, 720x1208
 HUAWEI/HONOR, DLI-TL20, HWDLI-Q, qcom, 320dpi, 720x1208
 HUAWEI/honor, FRD-L19, HWFRD, hi3650, 320dpi, 720x1208
 HUAWEI/Honor, Che2-L11, hwChe2, hi6210sft, 320dpi, 720x1280
 HUAWEI/Honor, CHM-U01, hwCHM-H, hi6210sft, 320dpi, 720x1280
